"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"2600 | ONN | website Traffic | Communication",Traffic-Broad,female,65+,"Branding - เปลี่ยนโอากาสพิเศษ",2140.4528901,28434,56487,2189,1637,,,,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,35-44,"นาคครุฑเสริมบารมี  1-10 Aug",1643.44556766,14154,37416,364,327,107,13,164907,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,25-34,"นาคครุฑเสริมบารมี  1-10 Aug",942.95466988,8346,25955,195,183,106,9,226542,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Communication",Traffic-Broad,female,55-64,"Branding - เปลี่ยนโอากาสพิเศษ",884.78292741,19892,35552,739,599,1,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Always On",Gold-Retargeting,female,35-44,"พระประจำวันเกิด 1-31 Aug 26",824.487922,24560,32881,433,426,4,,,2026-08-04,2026-08-10
"4040 | ONN | website Traffic Campaign  | Live","Live - Broad",female,25-34,"Live - 4 Aug 2026",723.63616945,33335,35712,211,139,19,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Always On",Gold-Broad,female,35-44,"ผ่อนทอง 0% Aug 2026",685.28239718,12699,24058,506,445,81,2,18479,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,45-54,"นาคครุฑเสริมบารมี  1-10 Aug",678.29055241,5161,14155,153,135,47,3,9969,2026-08-04,2026-08-10
"4040 | ONN | website Traffic Campaign  | Live","Live - Broad",female,65+,"Live - 4 Aug 2026",672.87573668,8544,9204,365,172,1,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Always On",Gold-Retargeting,female,45-54,"พระประจำวันเกิด 1-31 Aug 26",611.93587972,14145,20221,342,314,7,,,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Campaign",Campaign-Lookalike-Conversion,female,25-34,"Happy Mother Day -  1-12 Aug",587.04073109,9568,19942,287,252,48,3,10927,2026-08-04,2026-08-10
"4040 | ONN | website Traffic Campaign  | Live","Live - Broad",male,25-34,"Live - 4 Aug 2026",564.62481378,25848,26668,157,102,1,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Always On",Gold-Broad,female,45-54,"ผ่อนทอง 0% Aug 2026",548.07391943,7428,15484,450,398,49,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Communication",Traffic-Broad,male,65+,"Branding - เปลี่ยนโอากาสพิเศษ",515.11588238,9394,17447,455,372,,,,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Campaign",Campaign-Retargeting-Conversion,female,35-44,"Happy Mother Day -  1-12 Aug",498.80021344,4684,12597,152,124,49,3,7994,2026-08-04,2026-08-10
"4040 | ONN | website Traffic Campaign  | Live","Live - Broad",female,55-64,"Live - 4 Aug 2026",450.67384227,8243,8746,227,130,2,,,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Campaign",Campaign-Lookalike-Conversion,female,35-44,"Happy Mother Day -  1-12 Aug",450.11822815,6198,12562,174,135,11,1,4893,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Campaign",Campaign-Retargeting-Conversion,female,25-34,"Happy Mother Day -  1-12 Aug",449.88528925,5345,13757,196,157,41,6,86073,2026-08-04,2026-08-10
"4040 | ONN | website Traffic Campaign  | Live","Live - Broad",female,35-44,"Live - 4 Aug 2026",447.12381201,14744,16435,145,114,22,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Always On",Gold-Retargeting,female,25-34,"พระประจำวันเกิด 1-31 Aug 26",413.08396907,13666,17708,225,210,5,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Always On",Gold-Broad,female,25-34,"ผ่อนทอง 0% Aug 2026",399.84556394,9935,16738,301,288,47,1,9000,2026-08-04,2026-08-10
"2600 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,35-44,"นาคครุฑเสริมบารมี  1-10 Aug",395.82615801,3396,10732,76,62,31,2,3280,2026-08-04,2026-08-10
"4040 | ONN | website Traffic Campaign  | Live","Live - Broad",male,35-44,"Live - 4 Aug 2026",371.33316585,11590,12133,136,96,2,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Communication",Traffic-Broad,female,45-54,"Branding - เปลี่ยนโอากาสพิเศษ",360.56711777,10107,14912,311,263,,,,2026-08-04,2026-08-10
"4040 | ONN | website Traffic Campaign  | Live","Live - Broad",male,65+,"Live - 4 Aug 2026",353.23301153,4436,4859,168,88,,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Always On",Gold-Retargeting,female,55-64,"พระประจำวันเกิด 1-31 Aug 26",323.55310883,6912,9613,170,157,2,,,2026-08-04,2026-08-10
"2600 | ONN | website Traffic | Communication",Traffic-Retargeting,female,65+,"Branding - เปลี่ยนโอากาสพิเศษ",307.35397048,5290,9497,257,225,,,,2026-08-04,2026-08-10
"4040 | ONN | website Traffic Campaign  | Live","Live - Broad",female,45-54,"Live - 4 Aug 2026",291.1924826,7024,7801,105,72,3,1,64439,2026-08-04,2026-08-10
