"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"2600 | ONN | website Traffic | Communication",Traffic-Broad,female,65+,"Branding - เปลี่ยนโอากาสพิเศษ",1956.35125406,32731,71612,2110,1663,1,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,35-44,"ปี่เซียะมงคล  11-20 Aug",1596.82232326,20776,39601,575,492,102,2,3080,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Broad,female,55-64,"Branding - เปลี่ยนโอากาสพิเศษ",1001.77136582,24658,49445,939,776,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,45-54,"ปี่เซียะมงคล  11-20 Aug",923.24992557,9925,17532,434,413,66,7,17879,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Campaign",Campaign-Retargeting-Conversion,female,35-44,"Happy Mother Day -  1-12 Aug",792.16724314,6936,21173,216,159,66,12,213491,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Campaign",Campaign-Retargeting-Conversion,female,25-34,"Happy Mother Day -  1-12 Aug",675.24469808,6893,20094,173,161,85,9,118033,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Broad,male,65+,"Branding - เปลี่ยนโอากาสพิเศษ",640.48005366,13163,28316,582,484,,,,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Always On",Gold-Broad,female,35-44,"ผ่อนทอง 0% Aug 2026",618.37201893,12776,23011,552,510,88,6,186574,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Campaign",Campaign-Lookalike-Conversion,female,25-34,"Happy Mother Day -  1-12 Aug",584.31,10995,20612,222,155,31,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,25-34,"ปี่เซียะมงคล  11-20 Aug",537.04015456,8374,16470,213,201,84,4,109436,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Always On",Gold-Retargeting,female,35-44,"พระประจำวันเกิด 1-31 Aug 26",507.87,16695,22148,221,222,10,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,35-44,"The Memory Gold Laser  13-31 Aug",493.24367175,6767,13194,134,105,34,5,118198,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Campaign",Campaign-Lookalike-Conversion,female,35-44,"Happy Mother Day -  1-12 Aug",475.11,7728,15458,149,110,14,1,1056,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Campaign",Campaign-Board-Conversion,female,25-34,"รวม 4 ไอเดียของขวัญวันแม่มาให้เลือก -  1-12 Aug",421.34048055,10957,18549,176,100,13,2,6592,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Always On",Gold-Broad,female,45-54,"ผ่อนทอง 0% Aug 2026",416.71766581,7404,13622,391,348,32,1,10093,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Always On",Gold-Broad,female,25-34,"ผ่อนทอง 0% Aug 2026",398.36908952,10822,18092,329,294,63,3,92061,2026-08-11,2026-08-17
"2600 | ONN | website Traffic | Communication",Traffic-Broad,female,45-54,"Branding - เปลี่ยนโอากาสพิเศษ",353.71107482,11106,18766,299,254,,,,2026-08-11,2026-08-17
"2600 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,25-34,"The Memory Gold Laser  13-31 Aug",348.89845013,4917,10379,87,72,53,2,89608,2026-08-11,2026-08-17
