"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"2600 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,35-44,"ปี่เซียะมงคล  11-20 Aug",78.94630112,1102,1301,19,19,10,3,4759,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,45-54,"ปี่เซียะมงคล  11-20 Aug",55.5714746,643,726,16,13,5,1,1590,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,25-34,"ปี่เซียะมงคล  11-20 Aug",19.98412639,349,435,7,4,3,,,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,55-64,"ปี่เซียะมงคล  11-20 Aug",15.59321974,138,160,5,5,1,,,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,45-54,"ปี่เซียะมงคล  11-20 Aug",8.3,115,118,3,3,1,,,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,35-44,"ปี่เซียะมงคล  11-20 Aug",7.97164601,144,182,,,1,,,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,45-54,"ปี่เซียะมงคล  11-20 Aug",6.50134242,87,100,1,1,,,,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,35-44,"ปี่เซียะมงคล  11-20 Aug",5.64,105,110,1,1,,,,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,25-34,"ปี่เซียะมงคล  11-20 Aug",3.63074969,79,101,2,1,3,,,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,55-64,"ปี่เซียะมงคล  11-20 Aug",3.08,24,24,,,,,,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,45-54,"ปี่เซียะมงคล  11-20 Aug",1.79,40,41,1,1,,,,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,55-64,"ปี่เซียะมงคล  11-20 Aug",1.70035109,20,25,,,3,,,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,65+,"ปี่เซียะมงคล  11-20 Aug",1.49030772,23,28,,1,,,,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,35-44,"ปี่เซียะมงคล  11-20 Aug",1.39,28,28,,,,,,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,45-54,"ปี่เซียะมงคล  11-20 Aug",1.3,32,32,,,,,,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,25-34,"ปี่เซียะมงคล  11-20 Aug",1.29,38,39,,,1,,,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,65+,"ปี่เซียะมงคล  11-20 Aug",1.10022718,7,11,1,1,,,,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,35-44,"ปี่เซียะมงคล  11-20 Aug",0.97,31,35,,,,,,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,65+,"ปี่เซียะมงคล  11-20 Aug",0.78,2,2,,,,,,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,male,55-64,"ปี่เซียะมงคล  11-20 Aug",0.74,9,9,,,,,,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,25-34,"ปี่เซียะมงคล  11-20 Aug",0.61,24,26,,,,,,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,25-34,"ปี่เซียะมงคล  11-20 Aug",0.58,20,21,,,,,,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,18-24,"ปี่เซียะมงคล  11-20 Aug",0.55011359,12,14,,,1,,,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,55-64,"ปี่เซียะมงคล  11-20 Aug",0.47,9,9,,,,,,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,male,45-54,"ปี่เซียะมงคล  11-20 Aug",0.47,13,15,,,,,,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,55-64,"ปี่เซียะมงคล  11-20 Aug",0.35,10,10,,,,,,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,45-54,"ปี่เซียะมงคล  11-20 Aug",0.34007022,5,6,,,,,,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,male,35-44,"ปี่เซียะมงคล  11-20 Aug",0.33,10,10,,,,,,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,male,65+,"ปี่เซียะมงคล  11-20 Aug",0.22,3,3,,,,,,2026-08-18,2026-08-24
"2600 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,55-64,"ปี่เซียะมงคล  11-20 Aug",0.14002891,1,2,,,,,,2026-08-18,2026-08-24
