"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,35-44,"ทองแผ่น Laser  ราคาพิเศษ 399 - 16-31 July 2026",4603.7345916,34797,83482,1006,889,181,17,691070,2026-07-14,2026-07-20
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,25-34,"ทองแผ่น Laser  ราคาพิเศษ 399 - 16-31 July 2026",2737.91804901,25294,63401,700,617,165,8,255603,2026-07-14,2026-07-20
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,35-44,"ทองแผ่น Laser  ราคาพิเศษ 399 - 16-31 July 2026",1722.53427611,15619,40000,351,280,73,16,638116,2026-07-14,2026-07-20
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,45-54,"ทองแผ่น Laser  ราคาพิเศษ 399 - 16-31 July 2026",1704.40349687,10889,25703,363,312,48,2,13193,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,35-44,"ผ่อนทอง 0% July 2026",1208.95477945,53819,82831,1054,1014,7,,,2026-07-14,2026-07-20
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,35-44,"ผ่อนทอง 0% July 2026",1146.94963718,6995,19648,260,224,79,2,57503,2026-07-14,2026-07-20
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,25-34,"ทองแผ่น Laser  ราคาพิเศษ 399 - 16-31 July 2026",891.79580228,10211,26265,179,165,45,5,33218,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,35-44,"12 พลังปีเกิด July 2026",870.4604769,43113,58684,783,749,6,,,2026-07-14,2026-07-20
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,45-54,"ทองแผ่น Laser  ราคาพิเศษ 399 - 16-31 July 2026",850.09200325,6622,16061,157,134,12,1,17010,2026-07-14,2026-07-20
"4040 | ONN | website Traffic Campaign  | Live","Live - Broad",female,25-34,"Live - 15 July 2026",804.55268247,28892,31624,212,174,4,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,25-34,"ผ่อนทอง 0% July 2026",778.11962071,37405,56347,798,765,3,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic Campaign  | Live","Live - Broad",male,25-34,"Live - 15 July 2026",728.34803044,26836,30203,155,129,1,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,35-44,"ผ่อนทอง 0% July 2026",696.21200852,30472,43137,617,574,25,4,109102,2026-07-14,2026-07-20
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,25-34,"ผ่อนทอง 0% July 2026",656.51681164,5065,13225,139,117,29,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic Campaign  | Live","Live - Broad",female,65+,"Live - 15 July 2026",653.03304226,5479,6154,270,171,,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,45-54,"ผ่อนทอง 0% July 2026",640.79797057,20211,30466,590,532,17,1,16345,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,25-34,"ผ่อนทอง 0% July 2026",607.73362765,36932,48919,667,627,16,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Retargeting,female,35-44,"Test - Branding - มากกว่ามูลค่าทอง คือความสุข",585.22871675,32408,45498,545,513,,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,25-34,"12 พลังปีเกิด July 2026",556.26059935,30839,39539,538,516,4,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,25-34,"ผ่อนทอง 0% July 2026",519.11518602,38458,49288,614,583,3,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,55-64,"ผ่อนทอง 0% July 2026",490.62282637,14534,21677,416,373,7,,,2026-07-14,2026-07-20
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,45-54,"ผ่อนทอง 0% July 2026",476.54660644,2324,7161,108,95,19,1,64590,2026-07-14,2026-07-20
"4040 | ONN | website Traffic Campaign  | Live","Live - Broad",female,55-64,"Live - 15 July 2026",457.97918392,5634,6216,184,112,,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic Campaign  | Live","Live - Broad",male,35-44,"Live - 15 July 2026",435.61896561,11118,12199,140,114,,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic Campaign  | Live","Live - Broad",female,35-44,"Live - 15 July 2026",427.74049789,10378,11418,133,113,1,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,35-44,"ผ่อนทอง 0% July 2026",425.48457017,29513,37645,471,448,1,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Retargeting,female,35-44,"Test - Service - ทองแท้ 96.5",413.95152938,24959,33121,437,427,1,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic Campaign  | Live","Live - Broad",male,65+,"Live - 15 July 2026",403.7887698,3624,4202,148,88,,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,male,35-44,"ผ่อนทอง 0% July 2026",387.55961829,20170,27784,365,335,1,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Retargeting,female,25-34,"Test - Branding - มากกว่ามูลค่าทอง คือความสุข",376.01888904,20951,29217,366,347,,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,45-54,"ผ่อนทอง 0% July 2026",375.39806127,14824,21618,325,311,4,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Lookalike,female,35-44,ทุกช่วงเวลาสำคัญมีทองที่ใช่เสมอ,363.19954365,23254,30633,389,368,,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,55-64,"12 พลังปีเกิด July 2026",351.35729906,11854,17521,276,242,3,,,2026-07-14,2026-07-20
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,35-44,"ผ่อนทอง 0% July 2026",349.91870505,2163,6447,67,56,19,2,83023,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,65+,"12 พลังปีเกิด July 2026",339.17838043,9552,15799,246,196,1,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Lookalike,female,25-34,ทุกช่วงเวลาสำคัญมีทองที่ใช่เสมอ,325.74968853,21403,27326,357,334,1,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,45-54,"12 พลังปีเกิด July 2026",325.50836988,12360,15965,244,212,7,,,2026-07-14,2026-07-20
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,35-44,"Special Deals 12-14 July",324.42653318,2111,4291,74,71,5,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,45-54,"ผ่อนทอง 0% July 2026",320.27893321,15150,21324,354,335,13,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,25-34,"12 พลังปีเกิด July 2026",313.36948057,22050,26052,312,294,,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,male,35-44,"12 พลังปีเกิด July 2026",313.33976838,17267,22449,276,262,,,,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,35-44,"12 พลังปีเกิด July 2026",301.79100164,16009,19941,275,248,8,4,42649,2026-07-14,2026-07-20
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,male,25-34,"ผ่อนทอง 0% July 2026",300.94852969,15069,21864,329,311,,,,2026-07-14,2026-07-20
