"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,18-24,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",0,0,0,,,1,,,2026-06-01,2026-06-01
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,25-34,"Card customize 15-29 May 2026",0,0,0,,,2,,,2026-06-01,2026-06-01
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,25-34,"Card customize 15-29 May 2026",0,0,0,,3,2,,,2026-06-01,2026-06-01
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,25-34,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",0,0,0,,,9,,,2026-06-01,2026-06-01
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,35-44,"Card customize 15-29 May 2026",0,0,0,,5,1,,,2026-06-01,2026-06-01
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,35-44,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",0,0,0,,,13,1,71414,2026-06-01,2026-06-01
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,45-54,"Card customize 15-29 May 2026",0,0,0,,1,,,,2026-06-01,2026-06-01
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,45-54,"Card customize 15-29 May 2026-Conversion",0,0,0,,,2,,,2026-06-01,2026-06-01
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,45-54,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",0,0,0,,,2,,,2026-06-01,2026-06-01
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,55-64,"Card customize 15-29 May 2026",0,0,0,,1,,,,2026-06-01,2026-06-01
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,65+,"Card customize 15-29 May 2026",0,0,0,,1,,,,2026-06-01,2026-06-01
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,18-24,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",0,0,0,,,2,,,2026-06-01,2026-06-01
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,male,25-34,"Card customize 15-29 May 2026",0,0,0,,,1,,,2026-06-01,2026-06-01
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,25-34,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",0,0,0,,,1,,,2026-06-01,2026-06-01
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,male,35-44,"Card customize 15-29 May 2026",0,0,0,,1,,,,2026-06-01,2026-06-01
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,35-44,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",0,0,0,,,10,1,2540,2026-06-01,2026-06-01
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,45-54,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",0,0,0,,,1,,,2026-06-01,2026-06-01
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,male,65+,"Card customize 15-29 May 2026",0,0,0,,1,,,,2026-06-01,2026-06-01
