"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,35-44,"ผ่อนทอง 0% June 2026",700.34,39618,52308,620,606,4,,,2026-06-30,2026-06-30
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,25-34,"ผ่อนทอง 0% June 2026",511.94,29071,39101,499,480,5,,,2026-06-30,2026-06-30
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,35-44,"Aurora Mid Year Gold Sale  25- 30 Jun 26",245.93,4759,6104,86,76,29,1,63140,2026-06-30,2026-06-30
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,35-44,"Aurora Mid Year Gold Sale  25- 30 Jun 26",184.96,3213,4157,88,82,44,1,32582,2026-06-30,2026-06-30
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,25-34,"Aurora Mid Year Gold Sale  25- 30 Jun 26",164.88,3415,4543,81,74,26,1,32680,2026-06-30,2026-06-30
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,male,35-44,"ผ่อนทอง 0% June 2026",149.02,9839,12233,137,134,,,,2026-06-30,2026-06-30
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,45-54,"ผ่อนทอง 0% June 2026",145.59,8452,10531,122,115,,,,2026-06-30,2026-06-30
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,male,25-34,"ผ่อนทอง 0% June 2026",139.61,9023,11344,145,139,3,,,2026-06-30,2026-06-30
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Broad,female,65+,"Test - Service - ทองแท้ 96.5",139.52378945,6721,9009,101,85,,,,2026-06-30,2026-06-30
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Broad,female,55-64,"Test - Service - ทองแท้ 96.5",121.98331305,7230,8778,73,66,,,,2026-06-30,2026-06-30
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,25-34,"Aurora Mid Year Gold Sale  25- 30 Jun 26",91.11,2067,2607,35,33,7,,,2026-06-30,2026-06-30
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,45-54,"Aurora Mid Year Gold Sale  25- 30 Jun 26",85.04,1424,1825,32,29,12,,,2026-06-30,2026-06-30
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,male,35-44,"Aurora Mid Year Gold Sale  25- 30 Jun 26",78.2,1512,2037,19,17,9,,,2026-06-30,2026-06-30
"4040 | ONN | website Traffic Campaign  | Pay Day","Pay Day  -Broad",female,35-44,"Pay Day 25-30 June 2026",77.65,1876,2498,67,58,56,7,83408,2026-06-30,2026-06-30
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Broad,male,65+,"Test - Service - ทองแท้ 96.5",69.48188712,3983,4951,45,38,,,,2026-06-30,2026-06-30
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Broad,female,25-34,"Test - Service - ทองแท้ 96.5",64.37174833,3279,3793,36,25,,1,63640,2026-06-30,2026-06-30
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Broad,male,18-24,"Test - Service - ทองแท้ 96.5",63.7817323,3859,4789,25,22,,,,2026-06-30,2026-06-30
"4040 | ONN | website Traffic Campaign  | Pay Day","Pay Day  -Broad",female,45-54,"Pay Day 25-30 June 2026",61.5,1185,1566,60,63,22,4,56936,2026-06-30,2026-06-30
"4040 | ONN | website Traffic | Test | June 2026",Traffic-Broad,male,25-34,"Test - Service - ทองแท้ 96.5",59.86162584,4153,4976,29,23,,,,2026-06-30,2026-06-30
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,45-54,"Aurora Mid Year Gold Sale  25- 30 Jun 26",58.03,966,1171,28,24,19,,,2026-06-30,2026-06-30
"4040 | ONN | website Traffic Campaign  | Pay Day","Pay Day  -Broad",female,25-34,"Pay Day 25-30 June 2026",56.37,1791,2221,52,38,40,15,178438,2026-06-30,2026-06-30
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,male,35-44,"Aurora Mid Year Gold Sale  25- 30 Jun 26",54.68,1122,1429,18,15,6,,,2026-06-30,2026-06-30
