"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,35-44,"ผ่อนทอง 0% June 2026",5786.65522847,149346,482136,5991,5798,75,2,5727,2026-06-01,2026-06-30
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,25-34,"ผ่อนทอง 0% June 2026",4375.25344821,136400,370280,4840,4644,57,2,32290,2026-06-01,2026-06-30
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,35-44,"Gems of The Day  21- 30 Jun 26",1753.31429962,17155,46053,212,155,60,11,517293,2026-06-01,2026-06-30
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,35-44,"Gems of The Day  21- 30 Jun 26",1541.02261695,16007,34782,197,162,43,6,117596,2026-06-01,2026-06-30
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,35-44,"นาคครุฑเสริมบารมี  11- 20 Jun 26",1389.21649055,17174,42539,291,232,90,5,162727,2026-06-01,2026-06-30
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,25-34,"Gems of The Day  21- 30 Jun 26",1321.96224494,16653,36036,187,140,52,5,116000,2026-06-01,2026-06-30
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,25-34,"Gems of The Day  21- 30 Jun 26",1194.67292967,14432,37483,178,132,48,7,192313,2026-06-01,2026-06-30
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,25-34,"นาคครุฑเสริมบารมี  11- 20 Jun 26",1154.41370335,14798,40472,235,182,96,9,220845,2026-06-01,2026-06-30
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,male,25-34,"ผ่อนทอง 0% June 2026",1135.70046676,41070,99991,1334,1283,23,9,101181,2026-06-01,2026-06-30
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,35-44,"Gems of The Day  21- 30 Jun 26",1090.04901128,16420,31995,126,105,31,3,72499,2026-06-01,2026-06-30
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,45-54,"ผ่อนทอง 0% June 2026",1027.63764114,31670,83777,1134,1111,25,2,37906,2026-06-01,2026-06-30
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,male,35-44,"ผ่อนทอง 0% June 2026",1017.77007807,35188,89180,1172,1130,29,1,68702,2026-06-01,2026-06-30
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,female,25-34,"Gems of The Day  21- 30 Jun 26",991.22456789,17829,35820,144,88,39,2,13239,2026-06-01,2026-06-30
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,female,45-54,"Gems of The Day  21- 30 Jun 26",956.38162412,8822,17287,138,122,15,4,101851,2026-06-01,2026-06-30
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,25-34,"ผ่อนทอง 0% June 2026",821.55093251,50526,74968,942,912,4,,,2026-06-01,2026-06-30
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,35-44,"Laser Your Pride Be Proud 1-10 June 2026-Conversion",808.50365904,6873,17976,215,185,181,10,247984,2026-06-01,2026-06-30
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,35-44,"ผ่อนทอง 0% June 2026",765.94154627,47626,68020,880,864,23,,,2026-06-01,2026-06-30
