"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,25-34,"Card customize 15-29 May 2026-Conversion",4258.64982525,26492,119880,949,860,822,144,1306553.41,2026-05-19,2026-05-25
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,35-44,"Card customize 15-29 May 2026-Conversion",3949.93794207,21267,90579,730,626,651,110,1535465.37,2026-05-19,2026-05-25
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,25-34,"Card customize 15-29 May 2026",3581.84440485,140216,258926,3299,3162,11,1,1221,2026-05-19,2026-05-25
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,male,25-34,"Card customize 15-29 May 2026",2018.27430834,79308,146286,1959,1887,14,,,2026-05-19,2026-05-25
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,35-44,"Card customize 15-29 May 2026",1850.60644267,76623,132274,1696,1650,6,1,1220,2026-05-19,2026-05-25
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,45-54,"Card customize 15-29 May 2026-Conversion",1222.2262292,6012,24371,247,208,193,32,411117,2026-05-19,2026-05-25
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,25-34,"Card customize 15-29 May 2026",1050.42687425,49981,76338,895,874,17,4,8600,2026-05-19,2026-05-25
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,25-34,"Card customize 15-29 May 2026",980.46041283,43307,68226,830,802,59,4,43219,2026-05-19,2026-05-25
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,male,35-44,"Card customize 15-29 May 2026",934.13810887,38302,68090,908,875,2,,,2026-05-19,2026-05-25
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,35-44,"Card customize 15-29 May 2026-Conversion",916.88469411,5342,24889,178,135,135,20,2104729.35,2026-05-19,2026-05-25
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,25-34,"Card customize 15-29 May 2026-Conversion",790.66165803,5503,25576,141,108,128,26,324735.02,2026-05-19,2026-05-25
