"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,25-34,"Card customize 15-29 May 2026",3064.16076103,131332,234133,2899,2810,22,,,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,35-44,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",1604.93412521,16207,45406,828,681,296,16,462761,2026-05-26,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,35-44,"Card customize 15-29 May 2026",1599.04386738,73646,122631,1506,1462,11,,,2026-05-26,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,male,25-34,"Card customize 15-29 May 2026",1533.52534786,67811,118533,1513,1460,9,1,1100,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,25-34,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",1314.79061073,16340,45051,636,550,311,5,105561,2026-05-26,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,male,35-44,"Card customize 15-29 May 2026",734.11341169,34773,58255,745,728,9,,,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,25-34,"Card customize 15-29 May 2026-Conversion",728.92779517,10266,24314,144,127,99,2,27073,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,35-44,"Card customize 15-29 May 2026-Conversion",649.57259192,8432,18954,147,149,76,3,28643,2026-05-26,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,18-24,"Card customize 15-29 May 2026",575.55699449,22906,42881,570,547,9,,,2026-05-26,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,45-54,"Card customize 15-29 May 2026",480.60913997,22503,35440,454,439,3,,,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,45-54,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",445.8900331,4466,11266,226,190,85,1,36201,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,35-44,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",426.90045757,4640,12724,167,124,74,7,59554,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,25-34,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",311.76303122,4228,11477,125,106,54,6,875755,2026-05-26,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,55-64,"Card customize 15-29 May 2026",299.19323931,11610,21173,300,297,,,,2026-05-26,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,male,18-24,"Card customize 15-29 May 2026",294.9233358,13107,21299,291,277,,,,2026-05-26,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,male,45-54,"Card customize 15-29 May 2026",229.17482148,11007,17325,237,224,2,1,34739,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,45-54,"Card customize 15-29 May 2026-Conversion",172.48130945,2196,4243,52,56,19,,,2026-05-26,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,65+,"Card customize 15-29 May 2026",161.71634579,6206,11326,148,141,2,,,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,45-54,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",161.13639815,1768,4267,81,59,26,1,9415,2026-05-26,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,male,55-64,"Card customize 15-29 May 2026",150.61659661,6522,10969,144,139,,,,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,25-34,"Card customize 15-29 May 2026-Conversion",128.11840061,1924,4638,21,21,10,,,2026-05-26,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,male,65+,"Card customize 15-29 May 2026",120.20728375,4617,7977,105,105,,,,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,35-44,"Card customize 15-29 May 2026-Conversion",118.95779996,1732,3871,20,14,10,1,75062,2026-05-26,2026-05-31
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,25-34,"Card customize 15-29 May 2026",74.07408614,1779,3195,118,134,111,2,79813,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,55-64,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",66.57851178,785,1625,32,19,9,3,190390,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,45-54,"Card customize 15-29 May 2026-Conversion",56.99373703,649,1380,12,6,8,,,2026-05-26,2026-05-31
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,18-24,"ONLINE EXCLUSIVE 25-31 May 2026-Conversion",49.80888663,988,2275,21,15,6,,,2026-05-26,2026-05-31
