"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,25-34,"Card customize 15-29 May 2026",3034.90359658,170021,272752,3158,2690,9,,,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,25-34,"Card customize 15-29 May 2026",2349.07182308,141331,204498,2498,2179,47,4,52027,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,35-44,"Card customize 15-29 May 2026",1867.81759568,104856,169203,2063,1825,11,,,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,35-44,"Card customize 15-29 May 2026",1524.21171721,89818,133124,1618,1444,29,1,781,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,45-54,"Card customize 15-29 May 2026",892.4692949,44567,76705,934,860,6,,,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,45-54,"Card customize 15-29 May 2026",848.25982519,47154,70454,931,840,18,8,52248,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,18-24,"Card customize 15-29 May 2026",803.1403664,46183,69213,896,720,,,,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,18-24,"Card customize 15-29 May 2026",693.22168486,43411,58951,744,602,,,,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,55-64,"Card customize 15-29 May 2026",688.10174628,32728,56210,729,685,3,,,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,55-64,"Card customize 15-29 May 2026",617.48259335,27301,51115,672,627,,,,2026-05-12,2026-05-18
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,35-44,"Card customize 15-29 May 2026-Conversion",427.40326504,4374,8924,115,94,80,6,160368,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Broad,male,65+,"Card customize 15-29 May 2026",419.50496807,17405,33366,461,421,,,,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Broad,female,65+,"Card customize 15-29 May 2026",374.81550412,16277,29856,401,373,,,,2026-05-12,2026-05-18
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,25-34,"Card customize 15-29 May 2026-Conversion",349.30266841,4318,9216,135,109,73,1,18827,2026-05-12,2026-05-18
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,45-54,"Card customize 15-29 May 2026-Conversion",153.27117088,1436,3009,51,46,19,4,21811,2026-05-12,2026-05-18
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,35-44,"Card customize 15-29 May 2026-Conversion",138.85106072,1240,3085,32,27,9,1,4988,2026-05-12,2026-05-18
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,25-34,"Card customize 15-29 May 2026-Conversion",85.09065003,1034,2492,26,21,9,,,2026-05-12,2026-05-18
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,45-54,"Card customize 15-29 May 2026-Conversion",51.0003896,522,1179,15,13,6,,,2026-05-12,2026-05-18
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,55-64,"Card customize 15-29 May 2026-Conversion",48.35036936,321,618,12,11,6,,,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,25-34,"Card customize 15-29 May 2026",40.47,1725,2636,55,54,30,,,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,35-44,"Card customize 15-29 May 2026",38.26,1499,2314,55,53,23,,,2026-05-12,2026-05-18
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,55-64,"Card customize 15-29 May 2026-Conversion",23.94018288,165,304,5,4,2,,,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Broad,unknown,25-34,"Card customize 15-29 May 2026",19.58976502,1127,1681,27,24,,,,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Broad,unknown,35-44,"Card customize 15-29 May 2026",15.69981168,867,1327,14,13,,,,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,45-54,"Card customize 15-29 May 2026",11.96,401,575,11,11,1,2,19166,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,25-34,"Card customize 15-29 May 2026",9.73,635,701,26,22,7,,,2026-05-12,2026-05-18
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,18-24,"Card customize 15-29 May 2026-Conversion",9.56007303,229,428,9,8,,,,2026-05-12,2026-05-18
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,female,65+,"Card customize 15-29 May 2026-Conversion",8.82006738,85,182,5,2,,,,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Broad,unknown,18-24,"Card customize 15-29 May 2026",8.68989577,469,707,12,9,,,,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Broad,unknown,45-54,"Card customize 15-29 May 2026",7.99990404,419,661,7,8,,,,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,35-44,"Card customize 15-29 May 2026",7.34,449,499,13,13,4,,,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,male,25-34,"Card customize 15-29 May 2026",5.07,232,328,9,6,3,,,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Broad,unknown,55-64,"Card customize 15-29 May 2026",4.14995022,190,329,1,1,,,,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,male,35-44,"Card customize 15-29 May 2026",4.01,209,263,3,2,1,,,2026-05-12,2026-05-18
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,18-24,"Card customize 15-29 May 2026-Conversion",3.54002704,55,147,2,2,,,,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Broad,unknown,65+,"Card customize 15-29 May 2026",3.53995754,154,282,5,4,,,,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,55-64,"Card customize 15-29 May 2026",3.52,99,122,4,4,1,,,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,male,25-34,"Card customize 15-29 May 2026",3.48,217,240,,,,,,2026-05-12,2026-05-18
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,male,65+,"Card customize 15-29 May 2026-Conversion",3.42002613,42,80,,,,,,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,female,45-54,"Card customize 15-29 May 2026",3.32,163,184,4,5,1,,,2026-05-12,2026-05-18
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,25-34,"Card customize 15-29 May 2026-Conversion",2.79002131,23,53,,,,,,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,male,45-54,"Card customize 15-29 May 2026",2.49,74,103,5,2,,,,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,male,35-44,"Card customize 15-29 May 2026",1.98,150,160,2,2,1,,,2026-05-12,2026-05-18
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,35-44,"Card customize 15-29 May 2026-Conversion",1.80001375,35,57,1,,,,,2026-05-12,2026-05-18
"4040 | ONN | website Traffic | Always On",Gold-Retargeting,female,18-24,"Card customize 15-29 May 2026",1.72,95,131,3,2,,,,2026-05-12,2026-05-18
