"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
job:DM26_0116-moj:Traffic-cpg:AWO-cpn:AWO-aus:New,"geo:TH-age:25_54-gdr:All-plm:All-aud:Engage Page",female,35-44,adn:branding_Gold_AllProduct-adf:Single,678.23349189,6732,14745,149,130,10,,,2026-09-01,2026-09-07
job:DM26_0116-moj:Traffic-cpg:AWO-cpn:AWO-aus:New,"geo:TH-age:25_54-gdr:All-plm:All-aud:Engage Page",female,25-34,adn:branding_Gold_AllProduct-adf:Single,542.65279385,6101,13866,130,126,15,2,4921,2026-09-01,2026-09-07
job:DM26_0116-moj:Traffic-cpg:AWO-cpn:AWO-aus:New,geo:TH-age:25_54-gdr:All-plm:All-aud:Lookalike,female,45-54,adn:branding_Gold_AllProduct-adf:Single,538.80222812,4505,8069,75,56,3,,,2026-09-01,2026-09-07
job:DM26_0116-moj:Traffic-cpg:AWO-cpn:AWO-aus:New,geo:TH-age:25_54-gdr:All-plm:All-aud:Lookalike,female,35-44,adn:branding_Gold_AllProduct-adf:Single,516.09129119,4907,8348,113,93,11,1,1740,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,geo:TH-age:25_64-gdr:All-plm:All-aud:Purchase,female,35-44,"adn:product_kanya me thong_AllProduct-adf:Single",483.11023481,2168,7961,130,125,61,3,31482,2026-09-01,2026-09-07
job:DM26_0116-moj:Traffic-cpg:AWO-cpn:AWO-aus:New,"geo:TH-age:25_54-gdr:All-plm:All-aud:Engage Page",female,45-54,adn:branding_Gold_AllProduct-adf:Single,478.58246399,4038,8705,86,72,7,,,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,geo:TH-age:25_64-gdr:All-plm:All-aud:Purchase,female,35-44,adn:product_LaserGoldSignature_LaserGold-adf:Single,449.59,2806,9286,89,94,53,5,245733,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:New,"geo:TH-age:25_64-gdr:All-plm:All-aud:Engage Page",female,35-44,"adn:product_kanya me thong_AllProduct-adf:Single",371.09959259,4446,8964,53,53,13,,,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,geo:TH-age:25_64-gdr:All-plm:All-aud:Purchase,female,45-54,"adn:product_kanya me thong_AllProduct-adf:Single",353.77284913,1169,4364,79,77,31,5,76101,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,geo:TH-age:25_64-gdr:All-plm:All-aud:Purchase,female,45-54,adn:product_LaserGoldSignature_LaserGold-adf:Single,276.82,1193,4377,40,48,42,6,146181,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:New,"geo:TH-age:25_64-gdr:All-plm:All-aud:Engage Page",female,25-34,"adn:product_kanya me thong_AllProduct-adf:Single",274.04400703,4014,9548,58,60,8,,,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,"geo:TH-age:25_64-gdr:All-plm:All-aud:Website Visit",female,35-44,"adn:product_kanya me thong_AllProduct-adf:Single",271.57,1520,4461,104,97,47,1,8913,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,geo:TH-age:25_64-gdr:All-plm:All-aud:Purchase,female,25-34,adn:product_LaserGoldSignature_LaserGold-adf:Single,253.53,2058,7509,65,56,37,1,4806,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:New,"geo:TH-age:25_64-gdr:All-plm:All-aud:Engage Page",female,35-44,adn:product_LakshmiGanesha_LakshmiGanesha-adf:Single,242.98101088,3529,6304,59,47,1,,,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,geo:TH-age:25_64-gdr:All-plm:All-aud:Purchase,female,25-34,"adn:product_kanya me thong_AllProduct-adf:Single",241.87511093,1349,5486,69,62,23,,,2026-09-01,2026-09-07
job:DM26_0116-moj:Traffic-cpg:AWO-cpn:AWO-aus:New,geo:TH-age:25_54-gdr:All-plm:All-aud:Lookalike,female,25-34,adn:branding_Gold_AllProduct-adf:Single,233.35962718,2934,4952,56,56,8,,,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:New,"geo:TH-age:25_64-gdr:All-plm:All-aud:Engage Page",female,35-44,adn:product_earrings_earrings-adf:Single,228.96,2952,5151,57,47,4,1,9176,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,"geo:TH-age:25_64-gdr:All-plm:All-aud:Website Visit",female,35-44,adn:payment_Krungsri_AllProduct-adf:Single,218.77,1514,4390,133,123,65,4,212556,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:New,"geo:TH-age:25_64-gdr:All-plm:All-aud:Engage Page",female,45-54,"adn:product_kanya me thong_AllProduct-adf:Single",203.35265514,2019,3643,50,46,10,,,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,"geo:TH-age:25_64-gdr:All-plm:All-aud:Website Visit",female,45-54,"adn:product_kanya me thong_AllProduct-adf:Single",195.95,819,2309,62,47,30,,,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,geo:TH-age:25_64-gdr:All-plm:All-aud:Purchase,female,35-44,adn:payment_Krungsri_AllProduct-adf:Single,172.27,1095,3579,110,106,60,5,169979,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,"geo:TH-age:25_64-gdr:All-plm:All-aud:Website Visit",female,25-34,"adn:product_kanya me thong_AllProduct-adf:Single",166.34,1155,3684,56,56,38,2,23586,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,"geo:TH-age:25_64-gdr:All-plm:All-aud:Website Visit",female,25-34,adn:payment_Krungsri_AllProduct-adf:Single,161.77,1138,3648,81,79,49,3,13607,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:New,"geo:TH-age:25_64-gdr:All-plm:All-aud:Engage Page",female,45-54,adn:product_earrings_earrings-adf:Single,151.42,1474,2557,34,28,,,,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:New,"geo:TH-age:25_64-gdr:All-plm:All-aud:Engage Page",female,45-54,adn:product_LakshmiGanesha_LakshmiGanesha-adf:Single,141.88891129,1537,2580,31,28,,,,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:New,"geo:TH-age:25_64-gdr:All-plm:All-aud:Engage Page",female,25-34,adn:product_LakshmiGanesha_LakshmiGanesha-adf:Single,130.85977322,2414,4657,29,24,2,1,1116,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,"geo:TH-age:25_64-gdr:All-plm:All-aud:Website Visit",female,45-54,adn:payment_Krungsri_AllProduct-adf:Single,130.02,654,1993,105,100,32,2,144440,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,geo:TH-age:25_64-gdr:All-plm:All-aud:Purchase,male,35-44,"adn:product_kanya me thong_AllProduct-adf:Single",121.39754617,621,2850,20,13,13,,,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,geo:TH-age:25_64-gdr:All-plm:All-aud:Purchase,male,35-44,adn:product_LaserGoldSignature_LaserGold-adf:Single,116.47,782,3321,15,12,10,1,71980,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,geo:TH-age:25_64-gdr:All-plm:All-aud:Purchase,female,25-34,adn:payment_Krungsri_AllProduct-adf:Single,105.8,703,2572,41,40,37,2,41388,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,geo:TH-age:25_64-gdr:All-plm:All-aud:Purchase,female,45-54,adn:payment_Krungsri_AllProduct-adf:Single,96.82,499,1768,47,39,39,1,70281,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:New,"geo:TH-age:25_64-gdr:All-plm:All-aud:Engage Page",female,25-34,adn:payment_Krungsri_AllProduct-adf:Single,96.21391109,1957,4012,30,28,13,1,71704,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:New,"geo:TH-age:25_64-gdr:All-plm:All-aud:Engage Page",female,35-44,adn:payment_Krungsri_AllProduct-adf:Single,96.15391489,1945,3446,27,24,1,,,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:New,"geo:TH-age:25_64-gdr:All-plm:All-aud:Engage Page",female,25-34,adn:product_earrings_earrings-adf:Single,93.58,1820,3388,20,19,1,,,2026-09-01,2026-09-07
job:DM26_0116-moj:Traffic-cpg:AWO-cpn:AWO-aus:New,"geo:TH-age:25_54-gdr:All-plm:All-aud:Engage Page",male,35-44,adn:branding_Gold_AllProduct-adf:Single,91.29047001,1074,2470,14,10,4,,,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,geo:TH-age:25_64-gdr:All-plm:All-aud:Purchase,female,55-64,"adn:product_kanya me thong_AllProduct-adf:Single",86.478252,263,940,39,35,9,3,123473,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,"geo:TH-age:25_64-gdr:All-plm:All-aud:Website Visit",male,35-44,"adn:product_kanya me thong_AllProduct-adf:Single",81.74,632,1825,18,12,9,1,18129,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,"geo:TH-age:25_64-gdr:All-plm:All-aud:Website Visit",male,35-44,adn:payment_Krungsri_AllProduct-adf:Single,80.69,690,2140,38,43,23,1,8813,2026-09-01,2026-09-07
job:DM26_0116-moj:Traffic-cpg:AWO-cpn:AWO-aus:New,"geo:TH-age:25_54-gdr:All-plm:All-aud:Engage Page",male,25-34,adn:branding_Gold_AllProduct-adf:Single,80.32041353,972,2522,12,11,3,,,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:New,"geo:TH-age:25_64-gdr:All-plm:All-aud:Engage Page",male,35-44,"adn:product_kanya me thong_AllProduct-adf:Single",79.44275722,1141,2650,11,11,,,,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,"geo:TH-age:25_64-gdr:All-plm:All-aud:Website Visit",female,35-44,adn:product_LaserGoldSignature_LaserGold-adf:Single,78.74,674,1668,22,18,13,1,1802,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,geo:TH-age:25_64-gdr:All-plm:All-aud:Purchase,male,45-54,"adn:product_kanya me thong_AllProduct-adf:Single",75.71846949,328,1301,25,21,7,1,36357,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,geo:TH-age:25_64-gdr:All-plm:All-aud:Purchase,male,25-34,adn:product_LaserGoldSignature_LaserGold-adf:Single,73.45,543,2389,16,13,9,1,17908,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:New,"geo:TH-age:25_64-gdr:All-plm:All-aud:Engage Page",male,25-34,"adn:product_kanya me thong_AllProduct-adf:Single",70.30128925,925,2404,10,8,1,,,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,geo:TH-age:25_64-gdr:All-plm:All-aud:Purchase,male,55-64,adn:product_LaserGoldSignature_LaserGold-adf:Single,67.04,101,446,1,1,15,10,252098,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,geo:TH-age:25_64-gdr:All-plm:All-aud:Purchase,female,35-44,adn:product_earrings_earrings-adf:Single,65.92,654,1268,23,21,7,,,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,"geo:TH-age:25_64-gdr:All-plm:All-aud:Website Visit",female,25-34,adn:product_LaserGoldSignature_LaserGold-adf:Single,64.98,593,1651,20,18,11,2,45080,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,"geo:TH-age:25_64-gdr:All-plm:All-aud:Website Visit",male,45-54,"adn:product_kanya me thong_AllProduct-adf:Single",63.97,377,934,13,11,5,,,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,geo:TH-age:25_64-gdr:All-plm:All-aud:Purchase,female,55-64,adn:product_LaserGoldSignature_LaserGold-adf:Single,62.33,250,761,7,6,1,,,2026-09-01,2026-09-07
job:DM26_0116-moj:Traffic-cpg:AWO-cpn:AWO-aus:New,geo:TH-age:25_54-gdr:All-plm:All-aud:Lookalike,male,35-44,adn:branding_Gold_AllProduct-adf:Single,61.75254758,826,1573,11,7,4,1,35889,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,geo:TH-age:25_64-gdr:All-plm:All-aud:Purchase,male,25-34,"adn:product_kanya me thong_AllProduct-adf:Single",59.81879087,389,1824,14,13,4,1,53339,2026-09-01,2026-09-07
job:DM26_0116-moj:Traffic-cpg:AWO-cpn:AWO-aus:New,"geo:TH-age:25_54-gdr:All-plm:All-aud:Engage Page",male,45-54,adn:branding_Gold_AllProduct-adf:Single,59.5703067,678,1486,6,5,1,,,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,geo:TH-age:25_64-gdr:All-plm:All-aud:Purchase,female,35-44,adn:product_LakshmiGanesha_LakshmiGanesha-adf:Single,58.27,603,1096,16,11,2,,,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,"geo:TH-age:25_64-gdr:All-plm:All-aud:Website Visit",male,25-34,"adn:product_kanya me thong_AllProduct-adf:Single",57.67,456,1508,18,19,8,,,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,geo:TH-age:25_64-gdr:All-plm:All-aud:Purchase,male,45-54,adn:product_LaserGoldSignature_LaserGold-adf:Single,57.14,375,1428,7,6,7,1,1179,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,geo:TH-age:25_64-gdr:All-plm:All-aud:Purchase,male,35-44,adn:payment_Krungsri_AllProduct-adf:Single,53.57,377,1365,18,14,9,,,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,"geo:TH-age:25_64-gdr:All-plm:All-aud:Website Visit",female,45-54,adn:product_LaserGoldSignature_LaserGold-adf:Single,52.25,361,895,21,19,4,,,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,"geo:TH-age:25_64-gdr:All-plm:All-aud:Website Visit",male,25-34,adn:payment_Krungsri_AllProduct-adf:Single,51.38,500,1514,15,15,14,,,2026-09-01,2026-09-07
job:DM26_0116-moj:Conversion-cpg:AWO-cpn:AWO-aus:Retarget,geo:TH-age:25_64-gdr:All-plm:All-aud:Purchase,female,45-54,adn:product_earrings_earrings-adf:Single,49.17,366,679,11,10,1,1,35267,2026-09-01,2026-09-07
